%time,field.header.seq,field.header.stamp,field.header.frame_id,field.num_matches,field.num_inliers,field.runtime
1336387095595402956,1809,1336387095595402956,,604,582,0.189886996
1336387095793877840,1810,1336387095793877840,,599,566,0.179440207
1336387095992349863,1811,1336387095992349863,,598,562,0.187863624
1336387096190824986,1812,1336387096190824986,,612,571,0.176924942
1336387096389298916,1813,1336387096389298916,,612,600,0.17670648
1336387096587772846,1814,1336387096587772846,,614,579,0.188055618
1336387096786245823,1815,1336387096786245823,,606,585,0.181038872
1336387096885483027,1816,1336387096885483027,,617,591,0.189825051
1336387097083956957,1817,1336387097083956957,,608,578,0.192808316
1336387097282430887,1818,1336387097282430887,,600,583,0.190525208
1336387097480905056,1819,1336387097480905056,,601,577,0.176209139
1336387097679378986,1820,1336387097679378986,,616,593,0.181271725
1336387097877851963,1821,1336387097877851963,,625,595,0.191028551
1336387098076326847,1822,1336387098076326847,,621,599,0.178766586
1336387098274801016,1823,1336387098274801016,,619,586,0.171023008
1336387098374037027,1824,1336387098374037027,,618,591,0.188243907
1336387098572510958,1825,1336387098572510958,,622,597,0.177787694
1336387098770984888,1826,1336387098770984888,,619,586,0.190249894
1336387098969459057,1827,1336387098969459057,,617,593,0.177203607
1336387099167932034,1828,1336387099167932034,,613,587,0.178847255
1336387099366407871,1829,1336387099366407871,,620,585,0.168694637
1336387099564880848,1830,1336387099564880848,,612,588,0.186023865
1336387099763353825,1831,1336387099763353825,,622,585,0.161070479
1336387099862591028,1832,1336387099862591028,,616,586,0.199926057
1336387100061065912,1833,1336387100061065912,,615,591,0.185977486
1336387100259536982,1834,1336387100259536982,,619,584,0.17972034
1336387100458013058,1835,1336387100458013058,,612,585,0.172363263
1336387100656486988,1836,1336387100656486988,,610,582,0.175033987
1336387100854960918,1837,1336387100854960918,,604,577,0.171234904
1336387100954197884,1838,1336387100954197884,,600,574,0.187169682
1336387101152672052,1839,1336387101152672052,,597,573,0.175743789
1336387101351145983,1840,1336387101351145983,,591,560,0.173890338
1336387101549619913,1841,1336387101549619913,,583,557,0.176972088
1336387101748092890,1842,1336387101748092890,,583,547,0.171509586
1336387101847331047,1843,1336387101847331047,,582,549,0.18469325
1336387102045804024,1844,1336387102045804024,,579,541,0.177072727
1336387102244277954,1845,1336387102244277954,,570,536,0.141038048
1336387102343516827,1846,1336387102343516827,,563,535,0.198684902
1336387102541988850,1847,1336387102541988850,,560,523,0.163123117
1336387102740463018,1848,1336387102740463018,,550,518,0.132782597
1336387102938936949,1849,1336387102938936949,,548,513,0.163657613
1336387103038172960,1850,1336387103038172960,,557,519,0.167312478
1336387103236646891,1851,1336387103236646891,,531,501,0.168779632
1336387103435120821,1852,1336387103435120821,,514,488,0.156565652
1336387103534358025,1853,1336387103534358025,,522,488,0.157701058
1336387103732831955,1854,1336387103732831955,,517,475,0.141151119
1336387103832068920,1855,1336387103832068920,,508,468,0.171626716
1336387104030542850,1856,1336387104030542850,,479,445,0.136301762
1336387104229017019,1857,1336387104229017019,,463,438,0.144343146
1336387104328253984,1858,1336387104328253984,,458,432,0.130557033
1336387104427490950,1859,1336387104427490950,,440,415,0.148730998
1336387104625964880,1860,1336387104625964880,,436,408,0.132891548
1336387104725200891,1861,1336387104725200891,,434,404,0.131133578
1336387104923676014,1862,1336387104923676014,,419,391,0.143610369
1336387105022912025,1863,1336387105022912025,,411,385,0.118724176
1336387105122149944,1864,1336387105122149944,,417,387,0.131601092
1336387105320622921,1865,1336387105320622921,,406,385,0.126692644
1336387105419859886,1866,1336387105419859886,,416,381,0.14119694
1336387105519096851,1867,1336387105519096851,,410,389,0.129169217
1336387105717571020,1868,1336387105717571020,,392,369,0.128402501
1336387105816807985,1869,1336387105816807985,,403,370,0.121112818
1336387105916044950,1870,1336387105916044950,,392,362,0.12553063
1336387106015281916,1871,1336387106015281916,,392,366,0.133602604
1336387106213755846,1872,1336387106213755846,,392,371,0.122091222
1336387106312993050,1873,1336387106312993050,,397,375,0.124267686
1336387106412228823,1874,1336387106412228823,,400,361,0.100250737
1336387106511466026,1875,1336387106511466026,,397,370,0.156062444
1336387106709939957,1876,1336387106709939957,,392,362,0.123974215
1336387106809176922,1877,1336387106809176922,,402,379,0.113312313
